,0
521,7502.582
522,7505.724
523,7451.271
524,7356.4873
525,7242.142
526,7126.914
527,7024.226
528,6940.016
529,6877.499
530,6834.132
531,6801.7026
532,6772.701
533,6742.671
534,6711.815
535,6684.102
536,6659.6147
537,6638.7085
538,6625.64
539,6626.121
540,6648.205
541,6697.533
542,6778.4688
543,6884.5786
544,7003.192
545,7124.1157
546,7234.1997
547,7325.4893
548,7398.159
549,7461.7217
550,7528.9014
551,7639.075
552,7825.739
553,8092.8438
554,8426.194
555,8789.376
556,9145.517
557,9494.049
558,9811.313
559,10084.229
560,10311.237
561,10505.292
562,10675.24
563,10814.121
564,10928.888
565,11028.611
566,11188.76
567,11448.964
568,11756.78
569,12074.938
570,12355.849
571,12558.319
572,12686.736
573,12781.767
574,12871.451
575,12952.547
576,13005.198
577,13045.213
578,13128.777
579,13284.023
580,13498.849
581,13775.582
582,14088.618
583,14379.122
584,14591.45
585,14725.426
586,14769.202
587,14685.674
588,14474.635
589,14172.51
590,13833.996
591,13552.201
592,13355.539
593,13252.266
594,13237.139
595,13268.074
596,13319.029
597,13370.367
598,13404.219
599,13400.335
600,13364.152
601,13300.093
602,13214.162
603,13128.961
604,13060.051
605,13008.832
606,12970.672
607,12989.497
608,13119.196
